season,round,grand_prix,driver_number,driver,team,stint,compound,stint_len_laps,mean_lap_s,median_lap_s,p90_lap_s,start_lap,end_lap,degradation_s_per_lap
2024,1,Bahrain Grand Prix,27,HUL,Haas F1 Team,3.0,HARD,18,96.826,96.75450000000001,97.1378,22.0,40.0,0.020913495551506574
2024,1,Bahrain Grand Prix,27,HUL,Haas F1 Team,4.0,SOFT,14,95.49314285714286,95.5595,95.88050000000001,43.0,56.0,0.039498901098906754
2024,1,Bahrain Grand Prix,3,RIC,RB,1.0,SOFT,7,98.78157142857143,98.76,98.949,3.0,12.0,0.03037769784173424
2024,1,Bahrain Grand Prix,3,RIC,RB,2.0,HARD,20,97.84215,97.9665,98.1632,15.0,34.0,0.04522631578947121
2024,1,Bahrain Grand Prix,3,RIC,RB,3.0,SOFT,20,96.1489,95.73750000000001,97.3904,37.0,56.0,0.12333984962405695
2024,1,Bahrain Grand Prix,31,OCO,Alpine,1.0,SOFT,4,98.72749999999999,98.7055,98.84309999999999,3.0,6.0,0.03239999999999693
2024,1,Bahrain Grand Prix,31,OCO,Alpine,2.0,HARD,17,98.23,98.372,98.659,12.0,29.0,0.059828352769681875
2024,1,Bahrain Grand Prix,31,OCO,Alpine,3.0,HARD,25,97.08736,96.887,97.94300000000001,32.0,56.0,0.05892615384615386
2024,1,Bahrain Grand Prix,4,NOR,McLaren,1.0,SOFT,11,97.92590909090909,97.936,98.134,2.0,12.0,0.037599999999995304
2024,1,Bahrain Grand Prix,4,NOR,McLaren,2.0,HARD,18,96.767,96.72800000000001,97.0536,15.0,32.0,0.028691434468522303
2024,1,Bahrain Grand Prix,4,NOR,McLaren,3.0,HARD,23,95.52660869565217,95.485,96.0256,35.0,57.0,0.06100691699604791
2024,1,Bahrain Grand Prix,44,HAM,Mercedes,1.0,SOFT,10,98.23740000000001,98.25450000000001,98.3795,2.0,11.0,-0.00688484848484943
2024,1,Bahrain Grand Prix,44,HAM,Mercedes,2.0,HARD,19,96.88600000000001,96.85,97.248,14.0,32.0,0.0027561403508757644
2024,1,Bahrain Grand Prix,44,HAM,Mercedes,3.0,HARD,23,95.41443478260871,95.479,95.962,35.0,57.0,0.03815810276679885
2024,1,Bahrain Grand Prix,55,SAI,Ferrari,1.0,SOFT,12,97.66525,97.653,98.1679,2.0,13.0,0.02315034965035022
2024,1,Bahrain Grand Prix,55,SAI,Ferrari,2.0,HARD,19,96.27852631578946,96.236,96.56479999999999,16.0,34.0,0.03830701754385616
2024,1,Bahrain Grand Prix,55,SAI,Ferrari,3.0,HARD,21,95.05166666666666,95.083,95.327,37.0,57.0,0.024779220779222542
2024,1,Bahrain Grand Prix,63,RUS,Mercedes,1.0,SOFT,9,97.57055555555556,97.782,98.08879999999999,2.0,10.0,0.14623333333333233
2024,1,Bahrain Grand Prix,63,RUS,Mercedes,2.0,HARD,18,96.97327777777778,96.925,97.3344,13.0,30.0,-0.008950464396289996
2024,1,Bahrain Grand Prix,63,RUS,Mercedes,3.0,HARD,25,95.72004000000001,95.805,96.2844,33.0,57.0,0.042889999999999505
2024,1,Bahrain Grand Prix,77,BOT,Kick Sauber,1.0,SOFT,5,98.6722,98.654,98.9156,2.0,8.0,0.06679850746269371
2024,1,Bahrain Grand Prix,77,BOT,Kick Sauber,2.0,HARD,16,97.96175,98.072,98.51050000000001,14.0,29.0,0.09920588235293835
2024,1,Bahrain Grand Prix,77,BOT,Kick Sauber,3.0,HARD,25,97.03703999999999,96.819,97.9872,32.0,56.0,0.01738846153846141
